시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하rur개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강동구,신동아파밀리에(소형),https://new.land.naver.com/complexes/3317,2002.11.15.,357세대(3동),10억6천300,7억3천,8억2천,7억8천,-26,11건,11건,3억9천,46,3억9천,1건
서울특별시,강북구,꿈의숲롯데캐슬(국평),https://new.land.naver.com/complexes/109039,2017.02.,"615세대(기타임대 105세대 포함, 총11동)",11억7천,7억,8억5천,9억,-23,15건,4건,5억8천,48,5억8천,1건
서울특별시,강북구,삼성래미안트리베라2단지(국평),,2010.05.28.,"1,330세대(기타임대 228세대 포함, 총22동)",11억8천,7억6천,8억,8억9천,-24,5건,4건,5억8천,61,5억8천,2건
서울특별시,강북구,미아동부센트레빌(국평),https://new.land.naver.com/complexes/17516,2006.04.25.,480세대(8동),8억9천900,7억4천500,0,8억6천,-4,8건,0건,,,,
서울특별시,강북구,꿈의숲해링턴플레이스(국평),https://new.land.naver.com/complexes/116048,2019.09.,"1,028세대(기타임대 88세대 포함, 총17동)",11억3천,7억3천,8억,8억5천,-24,13건,6건,5억5천,50,5억4천,2건
서울특별시,강북구,래미안트리베라1단지(국평),,2010.05.28.,"1,247세대(기타임대 212세대 포함, 총24동)",10억8천500,7억7천,7억8천,8억5천,-21,3건,1건,6억,61,6억,1건
서울특별시,강북구,송천센트레빌(소형),https://new.land.naver.com/complexes/26885,2010.09.10.,"376세대(기타임대 70세대 포함, 총5동)",9억9천,6억9천,8억3천,8억3천,-16,6건,0건,,,,
서울특별시,강북구,꿈의숲롯데캐슬(소형),https://new.land.naver.com/complexes/109039,2017.02.,"615세대(기타임대 105세대 포함, 총11동)",9억4천,6억9천,7억9천500,7억9천,-15,7건,0건,,,,
서울특별시,강북구,두산위브트레지움(국평),https://new.land.naver.com/complexes/27413,2011.10.31.,"1,370세대(기타임대 234세대 포함, 총24동)",10억3천,6억,7억4천,7억8천,-24,35건,17건,5억5천,61,4억9천,9건
서울특별시,강북구,미아동부센트레빌(소형),https://new.land.naver.com/complexes/17516,2006.04.25.,480세대(8동),8억9천,6억1천,7억1천,7억1천,-20,10건,1건,,,,
서울특별시,강북구,삼성래미안트리베라2단지(소형),,2010.05.28.,"1,330세대(기타임대 228세대 포함, 총22동)",9억,5억9천500,0,7억,-22,18건,6건,4억6천,57,4억4천,2건
서울특별시,강북구,미아한일유앤아이(국평),https://new.land.naver.com/complexes/8787,2002.11.29.,384세대(8동),8억1천800,6억2천,6억2천,6억8천,-16,14건,0건,,,,
서울특별시,강북구,래미안트리베라1단지(소형),,2010.05.28.,"1,247세대(기타임대 212세대 포함, 총24동)",9억1천700,6억5천,6억8천,6억7천500,-26,6건,3건,5억,67,5억,1건
서울특별시,강북구,수유역두산위브1(국평),https://new.land.naver.com/complexes/27729,2009.06.29.,292세대(3동),8억2천500,6억9천500,7억,6억6천,-20,12건,2건,5억,64,5억,3건
서울특별시,강북구,한솔솔파크(국평),https://new.land.naver.com/complexes/9607,2005.09.01.,225세대(4동),7억7천500,6억3천,0,6억5천,-16,13건,0건,4억5천,62,4억4천,3건
서울특별시,강북구,대우(국평),https://new.land.naver.com/complexes/3134,2000.11.16.,260세대(6동),7억4천500,5억,5억,6억5천,-12,14건,0건,4억,50,3억8천,2건
서울특별시,강북구,삼각산아이원(국평),https://new.land.naver.com/complexes/8206,2003.12.30.,"1,344세대(20동)",9억,6억2천700,6억5천,6억5천,-27,26건,17건,4억2천,49,4억2천,1건
서울특별시,강북구,두산위브트레지움(소형),https://new.land.naver.com/complexes/27413,2011.10.31.,"1,370세대(기타임대 234세대 포함, 총24동)",8억3천500,6억1천,6억4천400,6억5천,-22,16건,1건,4억6천,61,4억4천500,3건
서울특별시,강북구,에스케이북한산시티(국평),https://new.land.naver.com/complexes/3098,2004.05.07.,"3,830세대(47동)",8억5천,5억3천,6억1천800,6억2천,-27,15건,11건,5억,67,4억4천,7건
서울특별시,강북구,주공4단지(국평),https://new.land.naver.com/complexes/1302,1991.04.23.,900세대(8동),7억9천,6억,0,6억2천,-21,6건,4건,,,,
서울특별시,강북구,수유벽산1차(국평),https://new.land.naver.com/complexes/1344,1993.11.17.,"1,454세대(13동)",7억4천,5억8천,5억8천,6억,-18,22건,0건,4억8천,59,4억2천,2건
서울특별시,강북구,벽산라이브파크(국평),https://new.land.naver.com/complexes/3099,2004.08.07.,"1,585세대(19동)",8억3천,5억7천900,6억1천,5억9천,-28,20건,11건,4억9천,63,4억,4건
서울특별시,강북구,삼성(국평),https://new.land.naver.com/complexes/3132,1998.12.03.,228세대(1동),7억,5억5천,0,5억8천,-17,7건,0건,,,,
서울특별시,강북구,번동솔그린(국평),https://new.land.naver.com/complexes/3128,1999.09.16.,380세대(4동),7억4천,5억2천500,0,5억7천,-22,11건,3건,,,,
서울특별시,강북구,삼각산아이원(소형),https://new.land.naver.com/complexes/8206,2003.12.30.,"1,344세대(20동)",7억9천,5억3천500,5억3천500,5억7천,-27,10건,7건,,,,
서울특별시,강북구,대우(소형),https://new.land.naver.com/complexes/3134,2000.11.16.,260세대(6동),6억2천900,6억2천900,0,5억5천,-12,3건,0건,,,,
서울특별시,강북구,에스케이북한산시티(소형),https://new.land.naver.com/complexes/3098,2004.05.07.,"3,830세대(47동)",7억8천,4억8천400,5억5천,5억5천,-29,44건,39건,4억1천,64,4억,9건
